Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How can I control my blood sugar naturally?,English,recommendation_for_diabetes,"Maintain a balanced diet with low glycemic index foods, exercise regularly, and monitor your blood sugar levels.",Frequent urination,diabetes,Include fiber-rich vegetables and avoid sugary beverages.,45.0,Female,diabetes
මට අධි රුධිර පීඩනය පාලනය කරන්න උපදෙස් දෙන්න.,Sinhala,recommendation_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.",Headache,hypertension,Reduce salt intake and practice stress-relief techniques like meditation.,55.0,Male,hypertension
What are the signs of prediabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include increased thirst, frequent urination, and fatigue.",Fatigue,diabetes,Consult a doctor for a blood sugar test if symptoms persist.,50.0,Male,diabetes
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු ආහාර සහ ප්‍රෝටීන් සහිත ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Include lean proteins, green vegetables, and whole grains.",60.0,Female,both
How can I prevent high blood pressure?,English,recommendation_for_hypertension,"Reduce sodium intake, engage in physical activity, and manage stress effectively.",Dizziness,hypertension,Avoid processed foods and maintain a healthy weight.,35.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,"දියවැඩියාව සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,"Balance meals with fiber-rich foods, lean proteins, and healthy fats.",40.0,Male,diabetes
What foods help reduce stress?,English,food_advice,"Foods like dark chocolate, almonds, and green tea are effective in reducing stress levels.",Fatigue,general,Avoid caffeine and focus on magnesium-rich options like spinach.,50.0,Female,general
මට රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ ආහාර සහ ව්‍යායාමයක් අනුගමනය කරන්න.",Headache,hypertension,Monitor blood pressure daily and avoid high-sodium snacks.,45.0,Male,hypertension
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Follow a balanced diet, exercise regularly, and monitor both blood pressure and blood sugar levels.",Frequent urination,diabetes_and_hypertension,Include potassium-rich foods and limit refined carbs in your diet.,55.0,Female,both
මට ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,"ආහාර වේලක් සකසන විට, ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර වලින් අඩංගු වේලක් සැලසුම් කරන්න.",Frequent urination,diabetes,Avoid processed foods and include fresh fruits and vegetables.,50.0,Male,diabetes
How can I reduce my risk of diabetes?,English,recommendation,"Maintain a healthy weight, eat a low-sugar diet, and exercise regularly.",Frequent urination,general,Include whole grains and lean proteins in your meals.,40.0,Female,general
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Dizziness,hypertension,Engage in regular aerobic exercise and monitor your blood pressure daily.,50.0,Male,hypertension
What are early signs of hypertension?,English,diagnosis_inquiry_for_hypertension,"Signs include frequent headaches, dizziness, and chest pain.",Headache,hypertension,Check blood pressure regularly and reduce salt intake in your diet.,60.0,Female,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ශාක පෝෂ්‍ය ආහාර සහ අඩු ලවණ ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,Include potassium-rich foods and avoid high-sodium snacks.,55.0,Male,both
How does exercise help control diabetes?,English,information_request_for_diabetes,Exercise improves insulin sensitivity and helps lower blood sugar levels.,Frequent urination,diabetes,Engage in aerobic activities like walking or cycling for 30 minutes daily.,45.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.",Headache,hypertension,"Include leafy greens, oats, and berries in your diet.",40.0,Male,hypertension
What are the best foods for heart health?,English,food_advice_for_hypertension,"Foods like salmon, walnuts, spinach, and whole grains are excellent for heart health.",Chest pain,hypertension,Avoid fried foods and include omega-3-rich options like flaxseeds.,50.0,Female,hypertension
මට දියවැඩියාව පාලනයට උපකාරය අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"දියවැඩියාව පාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Monitor your blood sugar levels and maintain a low-carb diet.,35.0,Male,diabetes
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Maintain a diet low in salt and sugar, exercise regularly, and monitor your blood sugar and blood pressure levels.",Fatigue,diabetes_and_hypertension,Avoid processed foods and include potassium-rich and fiber-rich options.,55.0,Male,both
මට ආහාර සෞඛ්‍යය සඳහා පෝෂණ උපදෙස් ලබාදෙන්න.,Sinhala,food_advice_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ප්‍රෝටීන් සහිත ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Include lean meats, whole grains, and green vegetables in your diet.",45.0,Female,both
What are symptoms of uncontrolled diabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include frequent urination, excessive thirst, blurry vision, and fatigue.",Frequent urination,diabetes,Consult a doctor immediately if symptoms persist and monitor blood sugar closely.,60.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා ආහාර වේලක්.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ සහ ශාක ආහාර භාවිතා කරන්න.",Headache,hypertension,Include potassium-rich fruits like bananas and avoid high-sodium processed foods.,50.0,Female,hypertension
How can I improve my blood sugar levels?,English,recommendation_for_diabetes,"Monitor your blood sugar regularly, exercise daily, and maintain a balanced diet with low-carb options.",Frequent urination,diabetes,Avoid sugary drinks and include whole grains and proteins in meals.,50.0,Female,diabetes
මට අධි රුධිර පීඩනය පාලනය කරන්න උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ සහ අධි පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,Monitor blood pressure and avoid processed snacks or fried foods.,45.0,Male,hypertension
What foods help manage hypertension?,English,food_advice_for_hypertension,"Foods like leafy greens, berries, oats, and nuts are beneficial for managing blood pressure.",Dizziness,hypertension,Limit salt intake and focus on potassium-rich foods like bananas.,60.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,Include fiber-rich vegetables and lean proteins in your meals.,40.0,Female,diabetes
How can I manage diabetes and hypertension together?,English,recommendation_for_both,"Follow a low-sodium, low-sugar diet and engage in regular physical activity.",Fatigue,diabetes_and_hypertension,Monitor both blood pressure and blood sugar regularly for better control.,55.0,Male,both
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා ග්ලූකෝස් අඩු, ශාක ආහාර සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, leafy greens, and lean proteins.",50.0,Female,both
What are the early signs of type 2 diabetes?,English,diagnosis_inquiry_for_diabetes,"Signs include excessive thirst, frequent urination, blurry vision, and fatigue.",Frequent urination,diabetes,Consult your doctor for blood sugar testing if you notice these symptoms.,60.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පෝෂ්‍ය ආහාර, වගේම කෙසෙල් සහ ඔට්ස් භාවිතා කරන්න.",Headache,hypertension,Avoid processed foods and include fresh vegetables in your diet.,45.0,Male,hypertension
How does stress impact hypertension?,English,information_request_for_hypertension,Stress can raise blood pressure temporarily and contribute to long-term hypertension.,Headache,hypertension,Practice relaxation techniques like yoga and deep breathing to reduce stress.,40.0,Female,hypertension
මට රුධිර සීනි මනාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"රුධිර සීනි මනාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Balance meals with green leafy vegetables and whole grains.,55.0,Male,diabetes
How can I manage my blood pressure naturally?,English,recommendation_for_hypertension,"Maintain a low-sodium diet, engage in regular physical activity, and reduce stress.",Dizziness,hypertension,Include potassium-rich foods like bananas and leafy greens.,50.0,Female,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,ආහාර සෞඛ්‍යය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes_and_hypertension,Balance meals with fiber-rich options like lentils and vegetables.,45.0,Male,both
What are the risks of untreated hypertension?,English,information_request_for_hypertension,"Untreated hypertension can lead to heart disease, stroke, kidney damage, and vision problems.",Headache,hypertension,Monitor blood pressure regularly and maintain a low-sodium diet.,60.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා ග්ලූකෝස් අඩු ආහාර සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include lean proteins, whole grains, and leafy greens in your meals.",50.0,Female,diabetes
How can I prevent diabetes complications?,English,recommendation_for_diabetes,"Control blood sugar levels, exercise regularly, and have routine medical check-ups.",Fatigue,diabetes,Monitor blood sugar daily and maintain a balanced diet.,55.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පෝෂ්‍ය ආහාර වැනි පලා සහ ඔට්ස් භාවිතා කරන්න.,Dizziness,hypertension,Avoid fried foods and include fresh fruits and vegetables.,40.0,Male,hypertension
What are the early signs of type 2 diabetes?,English,diagnosis_inquiry_for_diabetes,"Signs include excessive thirst, frequent urination, blurry vision, and fatigue.",Frequent urination,diabetes,Consult your doctor for blood sugar testing if you notice these symptoms.,60.0,Female,diabetes
මට ආහාර පෝෂණය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_both,"ආහාර පෝෂණය සඳහා ග්ලූකෝස් අඩු, අඩු ලවණ සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,Balance meals with lean proteins and whole grains while avoiding sugary drinks.,55.0,Male,both
